,state,time,avg,var
347,adamawa,2010-12-01,7452.185151341547,87664.8051189791
348,adamawa,2011-01-01,9551.934723604376,246358.3999355552
349,adamawa,2011-02-01,10951.571388857088,301872.33149133314
350,adamawa,2011-03-01,11648.315959406946,318627.76095328
351,adamawa,2011-04-01,11985.86697548874,338704.9961964744
352,adamawa,2011-05-01,12144.18866718715,340945.73291791935
353,adamawa,2011-06-01,11879.94242864133,325013.7782796282
354,adamawa,2011-07-01,11503.869734579068,317259.20787718776
355,adamawa,2011-08-01,11389.755833450145,319656.76306798536
356,adamawa,2011-09-01,10224.316739182646,270709.09426609514
357,adamawa,2011-10-01,8780.218461077346,225779.61968210703
358,adamawa,2011-11-01,7824.218020447648,185808.29889381788
359,adamawa,2011-12-01,7646.405344621587,95046.48305618722
360,adamawa,2012-01-01,9431.50526711633,244535.39566951463
361,adamawa,2012-02-01,10827.558408098037,294393.31189722556
362,adamawa,2012-03-01,11754.179868063986,329173.3040653346
363,adamawa,2012-04-01,12251.19627423687,341483.71550161456
364,adamawa,2012-05-01,11910.096543528858,341571.6726403949
365,adamawa,2012-06-01,11218.886375381351,303889.7011219754
366,adamawa,2012-07-01,11225.44818156545,310842.81400025566
367,adamawa,2012-08-01,11087.232285615086,305910.5809870936
368,adamawa,2012-09-01,10077.852597161607,269363.5473495804
369,adamawa,2012-10-01,8802.80210557556,227580.73910060615
370,adamawa,2012-11-01,7744.348482384193,184647.5126403276
371,adamawa,2012-12-01,7676.646462560231,99249.00858643756
372,adamawa,2013-01-01,9286.91310016423,245346.4762302786
373,adamawa,2013-02-01,11081.80264128889,327234.7873436971
374,adamawa,2013-03-01,12472.98730207618,371650.4724018009
375,adamawa,2013-04-01,12782.961927882236,385529.4064325144
376,adamawa,2013-05-01,11936.454756907067,345424.0791536189
377,adamawa,2013-06-01,11028.802974278893,308845.71156227106
378,adamawa,2013-07-01,10855.934823680198,306087.39624194393
379,adamawa,2013-08-01,10749.912794412907,306126.7661807657
380,adamawa,2013-09-01,10071.12317769493,281612.99834976764
381,adamawa,2013-10-01,8970.428447038468,238061.66178082858
382,adamawa,2013-11-01,7801.558623909335,194253.51250295655
383,adamawa,2013-12-01,7764.741994142911,104370.134449759
384,adamawa,2014-01-01,8910.303776177418,237428.76966629762
385,adamawa,2014-02-01,11050.71629434628,329265.9839288819
386,adamawa,2014-03-01,12583.469633622122,401000.69114883384
387,adamawa,2014-04-01,12495.76247839181,394740.2784048793
388,adamawa,2014-05-01,12007.989816111602,358345.3374360496
389,adamawa,2014-06-01,11090.346408308564,324309.48540837865
390,adamawa,2014-07-01,10935.2371031588,326605.5510027617
391,adamawa,2014-08-01,10962.879290994802,328111.05955495004
392,adamawa,2014-09-01,10500.431053586517,302592.43221579184
393,adamawa,2014-10-01,9236.761326964435,255578.53389562966
394,adamawa,2014-11-01,7894.912668461973,203228.49548091204
395,adamawa,2014-12-01,7799.231371645905,107249.58003794697
396,adamawa,2015-01-01,8934.738122171006,240836.67111366132
397,adamawa,2015-02-01,11061.929062982987,336352.1816724987
398,adamawa,2015-03-01,12428.091726847702,399932.62384644226
399,adamawa,2015-04-01,12387.556440382454,403697.6158463529
400,adamawa,2015-05-01,12404.217664563208,387792.8607196945
401,adamawa,2015-06-01,11520.902389907349,350249.5007670788
402,adamawa,2015-07-01,11259.372832387462,341492.4281534367
403,adamawa,2015-08-01,11224.626325606843,337991.5763708127
404,adamawa,2015-09-01,11182.728226312416,338955.9711354924
405,adamawa,2015-10-01,9640.254782973338,278397.858193864
406,adamawa,2015-11-01,8079.710336448235,215213.51686440085
